,dim 1,dim 2,dim 3,dim 4
219,0.90127456,-0.795506,0.6327955,0.32201862
220,0.045618482,-0.54725116,0.95858234,1.0617615
221,2.1928852,0.6791596,-1.6277974,-0.05915585
222,0.27678764,0.121208906,0.15136546,1.1407641
223,0.10976877,0.24944602,0.13417846,1.3539057
224,0.732115,0.39217663,-0.38841975,0.9019207
225,1.035612,-0.5829517,0.37007472,0.5830155
226,1.9730488,-0.5750511,-0.35461715,-0.42749906
227,2.2072043,-1.0653418,-0.08718308,-1.061901
228,-0.59271884,0.16981633,0.73256665,1.8109272
229,0.4261673,0.4338019,-0.27039158,1.0383866
230,1.4065007,-0.31511295,-0.13675739,0.46193498
231,-0.2513429,-0.5034031,1.1491699,1.5863314
232,0.96736974,0.69937146,-0.95170736,0.43835163
233,0.31799644,0.34215605,-0.10392627,0.97592044
234,-0.30404657,-0.97295415,1.6063687,1.3645332
235,0.6300469,0.089762285,-0.11222,0.80089426
236,1.4186392,-0.61999124,0.077852644,-0.036851063
237,-0.20157145,-0.28460133,0.83400446,1.030003
238,1.6078014,-1.4293731,0.6816158,-1.3627619
239,0.9143939,0.7254974,-0.90378606,0.34480166
240,2.11888,-0.6001595,-0.3537171,-0.5712323
241,1.6109606,0.23447178,-0.8942789,-0.13699082
242,0.5256651,-0.54483,0.6307737,0.8055705
243,1.2811586,0.7659968,-1.118617,0.6558108
244,0.69165677,0.71727103,-0.63548577,1.1033238
245,0.36154473,-0.112806775,0.32970864,1.1086152
246,0.32289732,1.2231002,-0.9374666,1.2947931
247,-0.41158378,0.19764656,0.46485072,0.7855539
248,0.22526258,0.6695452,-0.36453655,0.32651377
249,1.3597428,0.23159952,-0.63840044,0.051659092
250,0.5417152,-0.19072366,0.26537144,0.64554465
251,0.84334517,0.6725448,-0.7793403,0.60112643
252,1.3680807,-0.72148883,0.24849826,-0.051861107
253,0.39996195,-0.06396292,0.30723056,1.2118477
254,0.23293914,-0.0151167475,0.3707215,1.2059066
255,0.442106,0.2884261,-0.07476275,1.2465407
256,0.58568865,1.4053364,-1.2607414,1.2643487
257,0.3730526,1.0813838,-0.7221642,1.622699
258,0.7684143,0.83724695,-0.83862036,1.0640798
259,0.6050545,1.119898,-0.95142275,1.3543535
260,1.1945002,-1.7032253,1.3018497,0.19067825
261,-0.26540524,0.17734306,0.4225193,1.4667637
262,-0.26581186,0.23066716,0.4546672,1.7512699
263,0.85132533,0.5016835,-0.49453908,1.1582594
264,-0.41901696,0.20093846,0.56870383,1.6199397
265,1.6133662,-0.6176922,0.016609136,-0.5095548
266,1.1946554,0.21573316,-0.5676597,0.5452531
267,0.516404,0.14971015,0.053979762,1.1607583
268,1.0484809,0.86596394,-0.9850243,1.0907454
269,0.5852545,0.7620658,-0.601739,1.1540911
270,1.8754448,0.17974396,-0.93986243,0.16290279
271,0.8642247,0.10932362,-0.21311611,0.69940597
272,1.1095027,-0.1428912,-0.12218413,0.5116251
273,0.1619739,-0.06451143,0.34998506,0.67074156
274,0.16380638,-1.2469449,1.5179411,0.5464209
275,0.34582877,1.2322783,-0.8781607,1.6677836
276,0.43841493,0.2482727,-0.03243943,1.197083
277,1.0359074,-0.19515672,-0.01160413,0.6130371
278,0.8923294,0.28158998,-0.3465164,0.9109608
279,-0.91230994,1.1959463,0.09973278,2.6108165
280,1.4007672,1.0742059,-1.4372387,0.75278044
281,0.5268805,0.45343918,-0.23568723,0.84993255
282,1.3956107,-0.7995268,0.31396264,0.19122468
283,0.87354803,0.86826396,-0.89626765,1.0714512
284,0.63131166,0.15447827,-0.08907397,1.0147182
285,1.7487198,-0.007025238,-0.6799205,0.18320008
286,-0.012327388,-0.43247843,0.905809,1.2943279
287,0.2492964,-0.9044373,1.1857872,0.77661586
288,0.85133415,0.17123339,-0.26301208,0.5986158
289,0.17173727,0.75094736,-0.37093148,1.3451357
290,0.17118227,0.4595309,-0.002369834,1.5422107
291,0.093753725,-0.41154295,0.7766244,1.0038291
292,1.2284577,0.6630585,-0.93360037,0.7995373
293,0.8649287,0.81247365,-0.8284256,1.0201885
294,0.88772523,0.46387702,-0.5543287,0.8259002
295,1.5187672,0.30460548,-0.75762755,0.5625567
296,0.7321151,0.6565104,-0.5483815,1.2809626
297,0.50619465,1.2785339,-1.0032117,1.527536
298,1.3548446,-0.8097791,0.31041408,0.007501304
299,0.4438845,0.37330264,-0.2079382,0.8592409
300,0.24266762,0.16265218,0.10412482,0.96946716
301,0.6719923,0.5824286,-0.51708245,1.0970919
302,-0.005476266,-0.3136971,0.7802733,1.133135
303,0.5001306,0.25485772,-0.14306709,0.76702714
304,-0.36936498,-0.89118254,1.5668511,1.3295768
305,0.9934593,0.81252664,-0.92383796,0.9162661
306,0.88674927,-0.40129763,0.26277074,0.58640575
307,-0.023885868,-0.323183,0.8014902,1.3113198
308,-0.90369964,0.3844552,0.8169683,2.1933296
309,0.28113616,0.85975444,-0.5387741,1.2029415
310,1.2864286,-1.4558965,0.9527722,-0.70372814
311,1.012965,0.59121156,-0.75039494,0.82430494
312,1.3923421,1.3532938,-1.7361416,0.5964402
313,0.5494836,-0.26123035,0.33401784,0.92670166
314,0.20557295,-0.63700724,0.9490276,0.8883116
315,0.8026142,-0.0849213,0.041518472,0.9357177
316,0.5832326,1.0829259,-0.84512824,1.4542931
317,0.16924067,-0.6304276,0.98018074,1.0951123
318,1.134512,-0.6209973,0.31995386,0.4405048
319,0.97444975,-0.5114297,0.30008072,0.47430575
320,0.93587416,-0.3924653,0.16458863,0.32191205
321,0.2992644,0.11490528,0.18611157,1.2649337
322,0.40507644,0.82309383,-0.6452653,1.1041757
323,0.63045365,-0.92069626,0.9059951,0.59822065
324,0.56189966,-0.4572385,0.5238783,0.76238805
325,0.769236,0.582416,-0.55390894,1.1737243
326,0.6041715,0.9658272,-0.8741684,1.0125585
327,1.0720989,0.1275893,-0.35052174,0.51273155
328,-0.5846043,0.42443806,0.34463143,1.4398179
329,1.0906259,-0.24021524,-0.048859373,0.4245674
330,0.6460728,0.4019118,-0.3372967,1.0353861
331,0.8729213,-0.53703916,0.3937675,0.4698553
332,0.54852235,-0.12922326,0.18910795,0.7695472
333,0.3561886,1.0619781,-0.87572855,1.0623832
334,0.638829,-1.2598723,1.2042307,0.22980998
335,0.17535083,-0.07490586,0.4308795,1.1583624
336,1.272,-1.0092145,0.5488283,0.024840862
337,0.9748581,0.69465214,-0.77451754,1.0209515
338,1.705272,1.5441015,-2.0533657,0.66926026
339,1.1873178,-0.52226186,0.12831518,0.05247931
340,-0.36591852,-0.088190794,0.81337994,1.6751095
341,0.27881464,-0.63982284,0.90399045,1.2205374
342,0.64338803,-0.042246677,0.106796406,0.8473815
343,0.578954,0.5049815,-0.48824254,0.6120254
344,0.90734917,-0.34424573,0.18284214,0.7210938
345,0.7309586,-0.11346635,0.069657505,0.8882755
346,0.5938545,0.69910717,-0.6961143,0.8861977
347,-0.6446965,0.09735778,0.8419524,1.8508117
348,1.0734674,-1.054468,0.7453161,0.23029108
349,0.6804853,-0.74450284,0.7066025,0.71780705
350,0.10484487,-0.12251785,0.46834695,1.1741765
351,1.2264365,-0.66756713,0.22207993,-0.9351144
352,0.15425086,0.29159594,0.12034241,1.4781225
353,0.36938334,-0.039502513,0.25241026,1.0234089
354,2.0828428,-0.59229875,-0.34037086,-0.60577387
355,0.5184357,0.14975388,0.023993034,1.3208662
356,0.5648446,-0.229829,0.33283743,0.8754263
357,1.2334003,-0.07749821,-0.2711849,0.57094234
358,0.3448165,0.36586863,-0.10095239,1.2712666
359,1.5688497,0.6330895,-1.1976033,0.27976787
360,0.8910843,0.532567,-0.57344574,0.8347547
361,1.5604254,0.17102095,-0.720949,0.27549738
362,0.6205539,-0.82434183,0.8255125,0.76333517
363,0.21485977,-0.16039619,0.49060604,1.2952363
364,-0.19068064,-0.76870835,1.3793023,1.4014671
365,0.7288253,0.371984,-0.40521815,0.8036251
366,-0.20604296,-0.031381503,0.63268405,1.5130106
367,1.4245092,1.1469898,-1.5917912,0.54069585
368,0.8923729,-0.5595481,0.40787652,0.64108694
369,0.18825912,-0.41712034,0.75213647,1.17707
370,-0.07014406,0.6673725,-0.08406139,1.7609711
371,0.21257433,0.32589656,0.029327206,0.93687034
372,0.2078787,0.3167569,-0.0013016444,1.2008994
373,1.6400971,0.5878698,-1.2451316,0.3567847
374,-0.6491118,0.13627669,0.7326931,1.6072038
375,1.3119781,-0.06096067,-0.31631,0.5646099
