,Cluster_1,Cluster_1,Cluster_2,Cluster_2,Cluster_3,Cluster_3,Cluster_4,Cluster_4,Cluster_5,Cluster_5,all_patnos,all_patnos
49,Protein_UNC5D.1,0.33126288417136074,Protein_CFHR5.1,-0.3920785821856647,Protein_CXCL10,-0.3579352686581396,Protein_FAM234B.1,-0.4186945072495547,Protein_IGHG1,0.5541047096627993,Protein_NRXN3,12.05238802025595
50,Protein_EPHA10,0.32997839595509504,Protein_RPL30,-0.39172684946986536,Protein_C5,-0.3550059966174697,Protein_C5orf38,-0.4175099189768452,Protein_MAP2K4,0.5499119520292846,Protein_ENO2,12.04185564673845
51,Protein_PLD3,0.32950313300889444,Protein_CD177,-0.3914652097923206,Protein_DKK4,-0.3547407968576044,Protein_FAM171B.2,-0.41666008238060526,Protein_CPB2,0.54402785133958,Protein_PIANP.1,12.023966364633
52,Protein_DEFB1,0.3289865494262143,Protein_SHH,-0.3910966419143094,Protein_SERPINA3,-0.35420239578169976,Protein_B4GALT2,-0.41429594919355983,Protein_DSG2,0.5418478914140499,Protein_APLP2,11.99857053841665
53,Protein_KIAA1549L,0.3276155374264995,Protein_CGA.4,0.39069093892245466,Protein_CHRDL1,-0.3532051051618801,Protein_XXYLT1,-0.4135461671746552,Protein_C3.3,0.5416877077901852,Protein_OLFML3.1,11.950701544908199
54,Protein_CHST15.1,0.32597615514150924,Protein_UNC5A,0.3900396792830101,Protein_HNF4A,-0.3527405192412303,Protein_NRXN1.1,-0.4126149548613496,Protein_C4BPA,0.5413719954773251,Protein_TNFRSF21.1,11.905454998469551
55,Protein_ENPP5,0.3251276413650501,Protein_PDXP,0.3896969087331055,Protein_WISP2,-0.35198510241253,Protein_FAM171B.1,-0.4110621835611852,Protein_CAP1,0.53381205515554,Protein_LRRC4B.1,11.84002042292025
56,Protein_PIGR,0.32496095111785994,Protein_STAMBPL1,0.38954730127391546,Protein_ARPC1B,-0.35062151689473,Protein_LRP11,-0.40828855549059995,Protein_HPX,0.5296890561071006,Protein_ISLR2,11.78737214742465
57,Protein_SNRPF,0.3245554843764551,Protein_ENPP5,0.3892910631995008,Protein_C3.3,-0.34992529526008465,Protein_PRSS22,-0.40761475760534527,Protein_HGFAC.1,0.5259779309211048,Protein_CD200,11.779994523063252
58,Protein_QPCTL,0.32394827646374935,Protein_LRTM2,0.3887302369705612,Protein_MGP,-0.349049924660191,Protein_ISLR2,-0.4068481621634499,Protein_F13B,0.5244843956455258,Protein_RGMA,11.77579696785925
59,Protein_XCL1,0.32368865747271514,Protein_CCK,0.3836300789372018,Protein_IGHG1,-0.3480114122710507,Protein_LRP11.1,-0.40325996646121487,Protein_F9,0.5231988608437255,Protein_SERPINA3,11.7567923957817
60,Protein_MAN1C1,0.32349117537069016,Protein_NETO1,0.3830833870551249,Protein_HIST2H2BE,-0.3479169343452,Protein_EMC4,-0.4031648372855905,Protein_ADAMTS13,0.5185593392634802,Protein_EPHA7,11.74340324249285
61,Protein_NLGN2.1,0.32337229338074014,Protein_MB,-0.38220585879046975,Protein_C5.1,-0.3475851056588093,Protein_LRTM2,-0.40305713910176433,Protein_SERPINC1,0.5174949507508746,Protein_CEL,11.74164887856075
62,Protein_ABO,0.3232134302442997,Protein_KIAA1549L,0.38103217271114964,Protein_KLKB1,-0.3409291262129548,Protein_ALB,0.3978821089591209,Protein_C3.5,0.5143581740692857,Protein_EFNA2,11.725821244419851
63,Protein_TFPI2,0.32299257856129504,Protein_HP,-0.3809815798451197,Protein_KNG1.1,-0.3404486804316118,Protein_RTN4R,-0.3972868690960505,Protein_C5.1,0.5097054626604058,Protein_LRRTM2,11.72142113116375
64,Protein_BRSK2,0.32285543895561464,Protein_CPB2,-0.3809670353862247,Protein_FETUB,-0.3343429470178396,Protein_NEGR1.1,-0.39619619016086505,Protein_FGF1,0.5057238394389802,Protein_NRG3,11.713151638600099
